 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#5678,1.369741519e+01,1.004554667e+00,-2.040373517e-02 
val#5679,1.369860410e+01,1.004450135e+00,-2.040605836e-02 
val#5680,1.369979339e+01,1.004338355e+00,-2.040947955e-02 
val#5681,1.370098306e+01,1.004220057e+00,-2.041392500e-02 
val#5682,1.370217311e+01,1.004095927e+00,-2.041932085e-02 
val#5683,1.370336354e+01,1.003966608e+00,-2.042559391e-02 
val#5684,1.370455434e+01,1.003832702e+00,-2.043267245e-02 
val#5685,1.370574553e+01,1.003694770e+00,-2.044048664e-02 
val#5686,1.370693710e+01,1.003553334e+00,-2.044896910e-02 
val#5687,1.370812904e+01,1.003408879e+00,-2.045805508e-02 
val#5688,1.370932137e+01,1.003261854e+00,-2.046768276e-02 
val#5689,1.371051408e+01,1.003112673e+00,-2.047779338e-02 
val#5690,1.371170717e+01,1.002961719e+00,-2.048833124e-02 
val#5691,1.371290063e+01,1.002809346e+00,-2.049924374e-02 
val#5692,1.371409448e+01,1.002655878e+00,-2.051048139e-02 
val#5693,1.371528871e+01,1.002501614e+00,-2.052199765e-02 
val#5694,1.371648333e+01,1.002346828e+00,-2.053374891e-02 
val#5695,1.371767832e+01,1.002191773e+00,-2.054569431e-02 
val#5696,1.371887370e+01,1.002036679e+00,-2.055779564e-02 
val#5697,1.372006945e+01,1.001881759e+00,-2.057001724e-02 
val#5698,1.372126559e+01,1.001727208e+00,-2.058232570e-02 
val#5699,1.372246211e+01,1.001573205e+00,-2.059468993e-02 
val#5700,1.372365902e+01,1.001419913e+00,-2.060708072e-02 
val#5701,1.372485631e+01,1.001267484e+00,-2.061947091e-02 
val#5702,1.372605398e+01,1.001116058e+00,-2.063183497e-02 
val#5703,1.372725203e+01,1.000965762e+00,-2.064414890e-02 
val#5704,1.372845047e+01,1.000816717e+00,-2.065639029e-02 
val#5705,1.372964929e+01,1.000669032e+00,-2.066853786e-02 
val#5706,1.373084850e+01,1.000522811e+00,-2.068057155e-02 
val#5707,1.373204809e+01,1.000378151e+00,-2.069247233e-02 
val#5708,1.373324806e+01,1.000235144e+00,-2.070422200e-02 
val#5709,1.373444842e+01,1.000093877e+00,-2.071580320e-02 
val#5710,1.373564916e+01,9.999544329e-01,-2.072719912e-02 
val#5711,1.373685029e+01,9.998168918e-01,-2.073839352e-02 
val#5712,1.373805180e+01,9.996813319e-01,-2.074937065e-02 
